age,employment,income,location,has_medical_aid,heard_of_nmc,nmc_products_known,nmc_impression,knows_cost,why_no_medical_aid,likelihood_to_sign_up,what_would_make_sign_up,willingness_to_pay,benefits_wanted,open_text,sentiment
25-30,Employed full-time,"N$10,000 - N$25,000",Khomas Region,Yes,Yes,None of the above,Very positive,I have heard figures but I am not sure,,,,,Doctor visits;Hospitalisation;Emergency cover,A lot of young Namibians are unemployed thus affording medical aid at this point is not possible hence they opt not to have it ,Positive
25-30,Unemployed,Prefer not to say,Other urban area,No,No,,,"No, I have no idea",I use alternatives like cash or pay for health insurance,3.0,A recommendation from someone I trust,Under N$500,Doctor visits,"They think it is costing too much.
They did not also meet their standards of living to meet the medical aid requirements. ",Positive
25-30,Unemployed,Prefer not to say,Other urban area,No,Maybe,,,I have heard figures but I am not sure,I do not fully understand how it works,4.0,Lower monthly cost;A better understanding of the benefits,"N$500 - N$1,000",Doctor visits;Hospitalisation;Dental,Lack of understanding ,Neutral
31-35,Employed full-time,"Above N$20,000",Other urban area,Yes,Yes,Ruby,Somewhat positive,"Yes, I have a good idea",,,,,Doctor visits,"Reason can be they do not have proper information and they think it is a waste of money up until they get into a health crisis where their saved funds cannot cover up for medical bills, that is when they think of medical aid.",Negative
31-35,Self-employed,"N$10,000 - N$25,000",Khomas Region,No,Yes,Topaz;Topaz Plus;Emerald;Amber;Opal,Neutral,"No, I have no idea",I use alternatives like cash or pay for health insurance,3.0,Lower monthly cost,Under N$500,Doctor visits;Hospitalisation;Emergency cover,Lack of information and high costs,Positive
25-30,Employed full-time,"Above N$20,000",Other urban area,Yes,Yes,None of the above,Somewhat positive,"Yes, I have a good idea",,,,,Dental,They can’t afford one. Not everyone is accommodated ,Neutral
25-30,Employed full-time,"Under N$5,000",Rural area,No,Yes,None of the above,,"No, I have no idea",My employer does not offer it,1.0,A recommendation from someone I trust,Under N$500,Hospitalisation;Chronic medication;Emergency cover,Unaffordability ,Neutral
25-30,Student,"Under N$5,000",Khomas Region,No,No,None of the above,,"No, I have no idea",Too expensive,3.0,Lower monthly cost,Under N$500,Doctor visits;Mental health support;Emergency cover,"They see it as a responsibility of the parents, additionally, they think that government should cover health costs for Namibians especially young people without any social net. ",Positive
25-30,Employed full-time,"Under N$5,000",Khomas Region,No,Yes,Topaz,Neutral,I have heard figures but I am not sure,Too expensive;My employer does not offer it,3.0,Lower monthly cost;More flexible or customisable plan,Under N$500,Doctor visits;Optical,It’s expensive and we are underpaid,Negative
25-30,Employed full-time,"Above N$20,000",Khomas Region,Yes,Yes,Topaz;Topaz Plus;Emerald;Amber;Opal;Jade;Ruby;Emerald Plus;Amber Plus,Very positive,"Yes, I have a good idea",,,,,Hospitalisation;Dental;Optical,It's so expensive and the benefits are somewhat misaligned with lifestyle.,Negative
25-30,Employed full-time,"N$10,000 - N$25,000",Khomas Region,No,Yes,Topaz;Topaz Plus;Emerald;Amber;Opal;Jade;Ruby;Emerald Plus;Amber Plus,Very positive,"Yes, I have a good idea",My employer does not offer it,1.0,Lower monthly cost;My employer covering part or all of the cost,Under N$500,Doctor visits;Optical;Emergency cover,It’s expensive ,Negative
18-24,Student,Prefer not to say,Khomas Region,Yes,No,,,I have heard figures but I am not sure,,,,,Doctor visits,Because are afraid that is expensive ,Negative
25-30,Employed full-time,"Above N$20,000",Khomas Region,Yes,Yes,Ruby,Very positive,"Yes, I have a good idea",,,,,Doctor visits;Hospitalisation;Dental,Probably because they don’t fully understand it or maybe because it’s “expensive”..,Negative
31-35,Self-employed,"N$5,000 - N$10,000",Khomas Region,No,Yes,Topaz;Topaz Plus;Emerald;Amber;Opal;Jade;Ruby;Emerald Plus;Amber Plus,,I have heard figures but I am not sure,Too expensive,3.0,Lower monthly cost;More flexible or customisable plan,"N$500 - N$1,000",Doctor visits;Hospitalisation;Chronic medication;Dental,Because it is expensive ,Negative
25-30,Employed full-time,"N$5,000 - N$10,000",Khomas Region,No,Yes,None of the above,Neutral,I have heard figures but I am not sure,My employer does not offer it,3.0,Other,Under N$500,Emergency cover,Affordability ,Neutral
25-30,Employed full-time,"N$10,000 - N$25,000",Khomas Region,No,Yes,Amber,Very positive,"Yes, I have a good idea",Too expensive,3.0,My employer covering part or all of the cost,"N$1,000 - N$2,000",Chronic medication;Optical;Emergency cover,I think the cost of Medical Aid is too costly for Namibians.,Neutral
31-35,Employed full-time,"N$10,000 - N$25,000",Other urban area,Yes,Yes,None of the above,Very positive,"No, I have no idea",Other,,,,Chronic medication;Maternity cover;Emergency cover,Expensive ,Negative
31-35,Student,"N$10,000 - N$25,000",Rural area,Yes,Yes,None of the above,I have never heard of them,"Yes, I have a good idea",,5.0,A promotional offer or incentive,"N$500 - N$1,000",Hospitalisation;Chronic medication,They don’t avoid they are unemployed,Neutral
25-30,Student,Prefer not to say,Rural area,No,No,,,"No, I have no idea",I have never thought about it,1.0,A better understanding of the benefits,Under N$500,Doctor visits;Dental;Optical,They are unemployed ,Neutral
18-24,Employed full-time,"N$10,000 - N$25,000",Khomas Region,Yes,Yes,Jade,Very positive,"Yes, I have a good idea",,,,,Doctor visits;Hospitalisation;Chronic medication;Dental;Optical;Maternity cover;Mental health support;Emergency cover,Costs,Neutral
25-30,Employed full-time,"N$5,000 - N$10,000",Khomas Region,No,No,,,I have heard figures but I am not sure,Too expensive;My employer does not offer it,3.0,Lower monthly cost;My employer covering part or all of the cost,Under N$500,Doctor visits;Dental;Emergency cover,"Affordability is the main problem. If it was up to us and affordable, we would all have it. ",Positive
18-24,Student,"Under N$5,000",Khomas Region,Yes,Yes,Emerald Plus,Very positive,"No, I have no idea",,,,,Doctor visits;Optical;Emergency cover,"It’s either they can’t afford it, because they don’t earn much. Those that can afford it, it’s not a priority to them. They got used to being under their parents care and as they age they neglect the fact that they need to take their own responsibility or they just think they’ll have enough money to pay cash in case of emergency. Which is a pitty. ",Positive
31-35,Self-employed,"Above N$20,000",Khomas Region,No,Yes,None of the above,,"Yes, I have a good idea",Too expensive;I use alternatives like cash or pay for health insurance,3.0,More flexible or customisable plan,"N$1,000 - N$2,000",Doctor visits;Hospitalisation;Chronic medication;Dental;Optical;Maternity cover;Mental health support;Emergency cover,"Because of the medical costs of signing up as an individual, it’s much cheaper in company groups but you’d first have to be employed to be in a company group ",Positive
31-35,Unemployed,Prefer not to say,Khomas Region,No,Yes,,,I have heard figures but I am not sure,Other,3.0,Other,Under N$500,Doctor visits;Chronic medication;Maternity cover,High unemployment rates among youth ,Positive
31-35,Employed full-time,Prefer not to say,Khomas Region,Yes,Yes,Topaz,Somewhat positive,"Yes, I have a good idea",Other,4.0,More flexible or customisable plan,"N$500 - N$1,000",Doctor visits;Maternity cover;Mental health support;Emergency cover,It’s expensive ,Negative
31-35,Unemployed,"Under N$5,000",Khomas Region,No,No,,,I have heard figures but I am not sure,Too expensive,1.0,A recommendation from someone I trust,Under N$500,Doctor visits,"We can't afford it 
",Neutral
25-30,Employed full-time,"N$5,000 - N$10,000",Khomas Region,No,Yes,Topaz;Topaz Plus;Emerald;Amber;Opal;Jade;Ruby;Emerald Plus;Amber Plus,Neutral,I have heard figures but I am not sure,My employer does not offer it;I use alternatives like cash or pay for health insurance,4.0,My employer covering part or all of the cost;A better understanding of the benefits;More flexible or customisable plan,"N$500 - N$1,000",Hospitalisation;Dental;Emergency cover,They barely use it.,Positive
31-35,Employed full-time,"N$10,000 - N$25,000",Khomas Region,Yes,Yes,Jade,Very positive,"Yes, I have a good idea",,,,,Doctor visits;Hospitalisation;Optical,Expensive ,Negative
25-30,Student,Prefer not to say,Khomas Region,No,No,,I have never heard of them,"No, I have no idea",Too expensive,1.0,A better understanding of the benefits,Under N$500,Doctor visits;Dental;Mental health support,"It is expensive to afford , mlst especially without having a job",Negative
18-24,Student,Prefer not to say,Khomas Region,No,No,None of the above,,"No, I have no idea",Other,1.0,A recommendation from someone I trust,Under N$500,Doctor visits,They do not have clear knowledge about it.,Positive
31-35,Student,Prefer not to say,Other urban area,No,Yes,None of the above,I have never heard of them,"No, I have no idea",Other,1.0,A better understanding of the benefits,I would not pay for it at all,Hospitalisation,We are not welleducated about ot,Neutral
31-35,Employed full-time,"N$10,000 - N$25,000",Khomas Region,Yes,Yes,Ruby,Somewhat positive,I have heard figures but I am not sure,,,,,Doctor visits;Optical;Emergency cover,Its expensive ,Negative
25-30,Employed full-time,Prefer not to say,Other urban area,Yes,Yes,Topaz;Topaz Plus;Jade;Ruby,Neutral,I have heard figures but I am not sure,Other,3.0,My employer covering part or all of the cost,"N$500 - N$1,000",Doctor visits;Hospitalisation;Chronic medication;Dental;Maternity cover;Mental health support;Emergency cover,It’s expensive ,Negative
31-35,Employed full-time,"N$5,000 - N$10,000",Khomas Region,Yes,Yes,Topaz Plus,Somewhat positive,"Yes, I have a good idea",,,,,Doctor visits;Hospitalisation;Chronic medication,Its quite expensive ,Negative
25-30,Employed full-time,"Above N$20,000",Khomas Region,Yes,Yes,Topaz;Topaz Plus;Emerald;Amber;Opal;Jade;Ruby;Emerald Plus;Amber Plus,Neutral,"Yes, I have a good idea",Too expensive,3.0,A better understanding of the benefits,"N$500 - N$1,000",Doctor visits;Chronic medication,No,Neutral
25-30,Employed full-time,"N$10,000 - N$25,000",Khomas Region,Yes,Yes,Topaz;Topaz Plus;Emerald;Amber;Opal;Jade;Ruby;Emerald Plus;Amber Plus,Neutral,"Yes, I have a good idea",,,,,Dental;Optical;Emergency cover,A lack of exposure or understanding its importance ,Neutral
18-24,Student,Prefer not to say,Khomas Region,Yes,No,None of the above,Neutral,"No, I have no idea",Other,2.0,More flexible or customisable plan,"Above N$2,000",Doctor visits;Hospitalisation;Chronic medication;Dental;Maternity cover,Because of the expenses and lack of knowledge ,Neutral
31-35,Employed full-time,Prefer not to say,Khomas Region,Yes,Yes,Topaz;Topaz Plus;Emerald;Amber;Opal;Jade;Ruby;Emerald Plus;Amber Plus,Somewhat positive,"Yes, I have a good idea",,5.0,My employer covering part or all of the cost,Under N$500,Doctor visits,The cost of medical aid,Neutral
25-30,Self-employed,"Under N$5,000",Other urban area,No,No,None of the above,I have never heard of them,I have heard figures but I am not sure,I use alternatives like cash or pay for health insurance,3.0,Lower monthly cost,Under N$500,Hospitalisation;Optical,Unemployment ,Neutral
Prefer not to say,Employed full-time,"N$10,000 - N$25,000",Khomas Region,Yes,Maybe,None of the above,Very positive,"Yes, I have a good idea",,,,"N$500 - N$1,000",Doctor visits,Affordability ,Neutral
25-30,Unemployed,"Under N$5,000",Khomas Region,No,No,,,"No, I have no idea",Too expensive,1.0,Lower monthly cost,Under N$500,Chronic medication;Emergency cover,Unemployment ,Neutral
25-30,Employed full-time,"Under N$5,000",Khomas Region,No,No,None of the above,I have never heard of them,"No, I have no idea",Other,1.0,Lower monthly cost,Under N$500,Dental;Maternity cover;Mental health support;Emergency cover,To expensive,Negative
25-30,Employed full-time,"N$10,000 - N$25,000",Other urban area,Yes,No,,,I have heard figures but I am not sure,,,,,Doctor visits;Hospitalisation;Mental health support,In my opinion I think young Namibian avoid medical aid because of the cost and also the fact that they don't get sick often of which most of them think it's a waste of their money.  ,Negative
18-24,Student,Prefer not to say,Khomas Region,Yes,No,,,"No, I have no idea",,,,,Doctor visits;Hospitalisation;Dental,Probably because they dont understand the importance of it,Neutral
18-24,Employed full-time,"N$10,000 - N$25,000",Khomas Region,Yes,Yes,Topaz;Topaz Plus;Emerald;Amber;Opal;Jade;Ruby;Emerald Plus;Amber Plus,Somewhat positive,"Yes, I have a good idea",,,,,Doctor visits;Hospitalisation;Chronic medication,I believe they think it’s too expensive,Negative
25-30,Self-employed,"Under N$5,000",Khomas Region,No,Yes,Topaz Plus,Somewhat negative,"Yes, I have a good idea",Too expensive,1.0,A better understanding of the benefits,Under N$500,Doctor visits,No money to pay,Neutral
18-24,Employed full-time,"N$10,000 - N$25,000",Khomas Region,No,Yes,Emerald;Amber Plus,Neutral,"No, I have no idea",My employer does not offer it,3.0,Lower monthly cost,Under N$500,Hospitalisation;Dental;Optical;Emergency cover,For better medical treatment ,Positive
18-24,Employed full-time,"N$10,000 - N$25,000",Khomas Region,No,Yes,Emerald;Amber Plus,Neutral,"No, I have no idea",My employer does not offer it,3.0,Lower monthly cost,Under N$500,Hospitalisation;Dental;Optical;Emergency cover,For better medical treatment ,Positive
25-30,Unemployed,"Under N$5,000",Khomas Region,No,Yes,Topaz,Somewhat positive,I have heard figures but I am not sure,Too expensive;Other,1.0,Lower monthly cost;My employer covering part or all of the cost,"N$500 - N$1,000",Doctor visits;Hospitalisation;Chronic medication;Dental;Optical,Simply because it is too expensive and most of us are unemployed. ,Neutral
25-30,Employed full-time,"N$10,000 - N$25,000",Khomas Region,Yes,Yes,Topaz;Topaz Plus;Emerald;Amber;Opal;Jade;Ruby,Somewhat positive,"Yes, I have a good idea",,,,,Doctor visits;Hospitalisation;Emergency cover,The price to benefit gap,Neutral
25-30,Employed full-time,"N$10,000 - N$25,000",Khomas Region,Yes,Yes,Topaz Plus,Very positive,"Yes, I have a good idea",,,,,Doctor visits;Hospitalisation;Chronic medication;Dental;Optical,It’s expensive ,Negative
18-24,Student,Prefer not to say,Khomas Region,Yes,No,None of the above,I have never heard of them,"Yes, I have a good idea",I have never thought about it,,,,Doctor visits;Hospitalisation;Dental;Maternity cover;Emergency cover,"Could be the cost of it or they believe it’s expensive and rather go to state where it’s free, lack education on medical aid ",Negative
25-30,Unemployed,"Under N$5,000",Khomas Region,No,Yes,Emerald;Amber;Ruby,Very positive,"Yes, I have a good idea",Other,3.0,Lower monthly cost;A better understanding of the benefits,Under N$500,Doctor visits;Chronic medication;Optical;Maternity cover;Mental health support;Emergency cover,Too expensive ,Negative
25-30,Employed full-time,Prefer not to say,Khomas Region,Yes,Yes,Topaz;Topaz Plus;Emerald;Amber;Opal;Jade;Ruby;Emerald Plus;Amber Plus,Neutral,"Yes, I have a good idea",Other,,,,Doctor visits;Hospitalisation;Dental;Optical,It’s very expensive for any ordinary Nambi,Negative
25-30,Employed full-time,"Above N$20,000",Khomas Region,Yes,No,,,"Yes, I have a good idea",,,,,Doctor visits;Chronic medication;Dental;Mental health support,"It’s expensive.. Many young people are students, unemployed or still early in their careers. Monthly contributions to medical aid is too expensive compared to needs like rent, transport or food.",Negative
18-24,Student,Prefer not to say,Other urban area,No,No,,,I have heard figures but I am not sure,Other,3.0,Other,"N$500 - N$1,000",Hospitalisation;Optical;Emergency cover,I feel like they don't understand the benefits  and it's too expensive for their income especially for students and unemployed youth. ,Negative
18-24,Student,Prefer not to say,Khomas Region,No,No,,,I have heard figures but I am not sure,Other,1.0,Other,"N$500 - N$1,000",Doctor visits;Hospitalisation;Maternity cover,"Many young Namibians avoid medical aid because they feel healthy and see it as an unnecessary expense, especially with limited income; additionally, many grew up in households where their parents couldn’t afford it, so it was never seen as a priority.",Positive
31-35,Employed full-time,"Above N$20,000",Other urban area,Yes,Yes,Ruby,Somewhat positive,"Yes, I have a good idea",,,,,Doctor visits;Hospitalisation;Emergency cover,Unemployment/unstable income/high living codts. A somewhat reliable public health system ,Neutral
25-30,Unemployed,"Under N$5,000",Khomas Region,No,No,,,"No, I have no idea",I do not fully understand how it works,3.0,Lower monthly cost;A better understanding of the benefits;More flexible or customisable plan,Under N$500,Doctor visits;Dental;Emergency cover,It is very expensive and most of them are unemployed or don’t have a stable income to cover the cost,Negative
